Symbol,Company,Grade,Current Price,Value,Growth,Momentum,VGM,Quant
ABNB,Airbnb Inc.,4-Sell,87.58,D,A,F,B,50.0
ABR,Arbor Realty Trust,3-Hold,13.71,C,F,F,F,25.0
ABT,Abbott Laboratories,3-Hold,110.6,C,B,B,B,62.5
ABBV,AbbVie Inc.,3-Hold,164.04,B,A,B,A,75.0
ABB,ABB Ltd,4-Sell,31.75,C,C,D,D,25.0
ACGL,Arch Capital Group Ltd.,4-Sell,62.76,B,C,B,B,50.0
ACAD,ACADIA Pharmaceuticals Inc.,4-Sell,16.96,D,A,C,C,37.5
ABC,AmerisourceBergen Corporation,3-Hold,162.85,A,B,A,A,75.0
ACDC,ProFrac Holding Corp.,2-Buy,21.39,A,A,A,A,87.5
ACM,AECOM,3-Hold,82.92,C,B,B,B,62.5
ACLS,Axcelis Technologies Inc.,3-Hold,80.78,C,A,B,A,75.0
ACIW,ACI Worldwide Inc.,4-Sell,26.49,B,F,F,D,25.0
ABM,ABM Industries Incorporated,4-Sell,45.01,A,B,C,A,62.5
ACI,Albertsons Companies Inc.,3-Hold,20.78,A,A,A,A,75.0
ACN,Accenture PLC,3-Hold,262.32,C,B,B,A,75.0
ACLX,Arcellx Inc.,3-Hold,32.73,C,B,B,B,62.5
ACRE,Ares Commercial Real Estate Corporation,4-Sell,10.75,C,D,B,C,37.5
ADC,Agree Realty Corporation,3-Hold,69.01,F,B,B,C,50.0
ACRS,Aclaris Therapeutics Inc.,3-Hold,15.11,F,B,D,D,37.5
ADNT,Adient,3-Hold,36.97,A,A,C,A,75.0
ADI,Analog Devices Inc.,3-Hold,164.6,C,A,D,B,62.5
ADEA,Adeia Inc.,5-Strong Sell,10.37,B,B,B,B,37.5
ADP,Automatic Data Processing Inc.,3-Hold,233.15,D,C,B,C,50.0
ADSK,Autodesk Inc.,3-Hold,181.02,D,A,D,B,62.5
ADTN,ADTRAN Holdings Inc.,4-Sell,18.81,C,F,A,C,37.5
AEP,American Electric Power Company Inc.,3-Hold,94.08,C,B,D,B,62.5
AEE,Ameren Corporation,3-Hold,86.44,C,B,B,C,50.0
AEM,Agnico Eagle Mines Limited,1-Strong Buy,54.18,F,C,D,D,62.5
AES,The AES Corporation,3-Hold,26.11,C,B,D,B,62.5
AFL,Aflac Incorporated,3-Hold,71.57,B,F,A,C,50.0
AFG,American Financial Group Inc.,3-Hold,138.06,B,D,B,B,62.5
AER,Aercap Holdings N.V.,3-Hold,59.57,B,D,C,C,50.0
AEL,American Equity Investment Life Holding Company,3-Hold,46.22,A,F,D,C,50.0
AFYA,Afya Limited,2-Buy,13.95,A,A,A,A,87.5
AGI,Alamos Gold Inc.,3-Hold,10.55,D,F,F,F,25.0
AGL,Agilon Health Inc.,4-Sell,15.72,D,A,C,B,50.0
AGIO,Agios Pharmaceuticals Inc.,3-Hold,28.84,F,C,D,F,25.0
AGTI,Agiliti Inc.,3-Hold,16.69,B,C,D,C,50.0
AHH,Armada Hoffler Properties Inc.,3-Hold,11.46,D,C,D,D,37.5
AGR,Avangrid Inc.,4-Sell,43.03,D,F,A,D,25.0
AHCO,AdaptHealth Corp.,3-Hold,19.66,A,D,D,B,62.5
AIG,American International Group Inc.,3-Hold,63.25,A,C,D,B,62.5
AI,C3.ai Inc.,4-Sell,10.92,F,F,F,F,12.5
AIRC,Apartment Income REIT Corp.,3-Hold,33.77,D,C,B,C,50.0
AJG,Arthur J. Gallagher & Co.,3-Hold,186.87,D,B,C,C,50.0
AKAM,Akamai Technologies Inc.,3-Hold,84.47,B,C,B,B,62.5
AKR,Acadia Realty Trust,3-Hold,14.39,C,D,F,D,37.5
AKRO,Akero Therapeutics Inc.,3-Hold,43.38,C,C,A,B,62.5
ALB,Albemarle Corporation,3-Hold,220.8,C,A,D,B,62.5
AGCO,AGCO Corporation,3-Hold,134.81,B,F,B,C,50.0
ALE,Allete Inc.,2-Buy,64,C,D,D,C,62.5
ALGM,Allegro MicroSystems Inc.,3-Hold,29.27,D,A,C,B,62.5
ALC,Alcon,3-Hold,70.33,C,C,A,B,62.5
AGNC,AGNC Investment Corp.,3-Hold,10.67,B,D,C,C,50.0
ALGN,Align Technology Inc.,5-Strong Sell,221.07,D,B,C,C,25.0
ALKS,Alkermes plc,4-Sell,25.05,D,B,B,B,50.0
ALL,The Allstate Corporation,3-Hold,137.68,A,C,D,B,62.5
ALHC,Alignment Healthcare Inc.,4-Sell,11.5,D,A,A,A,62.5
ALNY,Alnylam Pharmaceuticals Inc.,4-Sell,226.12,F,C,B,D,25.0
ALT,Altimmune Inc.,3-Hold,14.05,F,C,B,D,37.5
ALLY,Ally Financial Inc.,5-Strong Sell,24.84,A,C,F,C,25.0
ALRM,Alarm.com Holdings Inc.,3-Hold,48.19,D,C,F,F,25.0
ALV,Autoliv Inc.,3-Hold,77.9,A,B,C,A,75.0
AM,Antero Midstream Corporation,4-Sell,10.82,D,C,C,D,25.0
ALLE,Allegion PLC,2-Buy,107.56,C,D,F,D,50.0
AMAT,Applied Materials Inc.,3-Hold,98.65,C,D,D,D,37.5
AMBA,Ambarella Inc.,3-Hold,79.8,F,D,F,F,25.0
ADBE,Adobe Inc.,3-Hold,330.48,C,B,C,B,62.5
AMCR,Amcor PLC,4-Sell,11.93,C,C,B,B,50.0
AMCX,AMC Networks Inc.,4-Sell,16.9,A,F,C,D,25.0
AME,AMETEK Inc.,3-Hold,138.54,D,C,F,D,37.5
ALTR,Altair Engineering Inc.,1-Strong Buy,46.26,F,D,D,F,50.0
AMED,Amedisys Inc.,4-Sell,82.16,B,D,D,C,37.5
AMG,Affiliated Managers Group Inc.,3-Hold,160.96,A,C,F,B,62.5
AMEH,Apollo Medical Holdings Inc.,3-Hold,27.83,B,D,A,B,62.5
AMGN,Amgen Inc.,3-Hold,265.27,B,C,C,B,62.5
AMH,American Homes 4 Rent,3-Hold,29.46,D,B,F,D,37.5
AMN,AMN Healthcare Services Inc,2-Buy,107.11,A,A,B,A,87.5
AMLX,Amylyx Pharmaceuticals Inc.,2-Buy,35.36,D,D,B,D,50.0
AMPL,Amplitude Inc.,2-Buy,11.95,F,B,F,D,50.0
AMD,Advanced Micro Devices Inc.,3-Hold,63.52,C,C,D,C,50.0
AMP,Ameriprise Financial Inc.,3-Hold,310.22,B,F,A,C,50.0
AMR,Alpha Metallurgical Resources Inc.,3-Hold,140.58,A,A,B,A,75.0
AMRC,Ameresco Inc.,4-Sell,55.11,D,C,D,D,25.0
AMT,American Tower Corporation,4-Sell,212.1,F,C,D,D,25.0
ALK,Alaska Air Group Inc.,3-Hold,44.08,A,A,F,A,75.0
AMZN,Amazon.com Inc.,5-Strong Sell,83.98,D,D,B,D,12.5
AEO,American Eagle Outfitters Inc.,2-Buy,14.84,A,F,C,C,62.5
AN,AutoNation Inc.,3-Hold,108.74,A,A,D,A,75.0
ANET,Arista Networks Inc.,1-Strong Buy,110.43,D,D,B,D,62.5
ANF,Abercrombie & Fitch Company,3-Hold,24.02,B,F,B,D,37.5
ANGO,AngioDynamics Inc.,3-Hold,15.33,C,C,D,C,50.0
ANSS,ANSYS Inc.,3-Hold,233.45,D,B,D,D,37.5
AMX,America Movil S.A.B. de C.V.,2-Buy,18.79,A,C,F,B,75.0
AOS,A. O. Smith Corporation,2-Buy,59.54,B,D,F,D,50.0
APA,APA Corporation,3-Hold,41.73,A,A,D,A,75.0
AON,Aon plc,4-Sell,300.09,D,F,A,D,25.0
APD,Air Products and Chemicals Inc.,3-Hold,302.62,D,C,C,D,37.5
APG,APi Group Corporation,4-Sell,18.53,B,B,A,A,62.5
APH,Amphenol Corporation,3-Hold,76.99,D,B,C,C,50.0
AA,Alcoa,3-Hold,45.09,A,B,F,A,75.0
APO,Apollo Global Management Inc.,3-Hold,63.65,C,B,F,C,50.0
APPN,Appian Corporation,4-Sell,31.36,F,F,A,F,12.5
APAM,Artisan Partners Asset Management Inc.,4-Sell,31.37,B,A,C,A,62.5
AIZ,Assurant Inc.,5-Strong Sell,126.82,B,F,D,D,12.5
APPS,Digital Turbine Inc.,3-Hold,15.04,B,A,F,A,75.0
AR,Antero Resources Corporation,3-Hold,27.74,A,A,C,A,75.0
ARCE,Arco Platform Limited,5-Strong Sell,12.64,C,B,F,B,37.5
AQUA,Evoqua Water Technologies,3-Hold,38.99,C,A,A,A,75.0
ARCH,Arch Resources Inc.,5-Strong Sell,134.21,A,A,B,A,50.0
ARCT,Arcturus Therapeutics Holdings Inc.,3-Hold,16.77,D,D,A,D,37.5
AAT,American Assets Trust Inc.,3-Hold,26.44,C,B,C,B,62.5
AAP,Advance Auto Parts Inc.,3-Hold,153.07,A,D,C,C,50.0
AAN,The Aaron's Company Inc.,4-Sell,12.5,A,B,D,A,62.5
AB,AllianceBernstein Holding L.P.,3-Hold,35.45,B,B,F,B,62.5
AAPL,Apple Inc.,3-Hold,126.58,C,C,D,D,37.5
ABCM,Abcam PLC Sponsored ADR,3-Hold,17.03,D,C,C,D,37.5
ABBV,AbbVie Inc.,3-Hold,164.04,B,A,B,A,75.0
ABM,ABM Industries Incorporated,4-Sell,45.01,A,B,C,A,62.5
ABT,Abbott Laboratories,3-Hold,110.6,C,B,B,B,62.5
ABB,ABB Ltd,4-Sell,31.75,C,C,D,D,25.0
ABR,Arbor Realty Trust,3-Hold,13.71,C,F,F,F,25.0
ABCB,Ameris Bancorp,3-Hold,46.02,B,D,C,C,50.0
ACAD,ACADIA Pharmaceuticals Inc.,4-Sell,16.96,D,A,C,C,37.5
ABC,AmerisourceBergen Corporation,3-Hold,162.85,A,B,A,A,75.0
ABNB,Airbnb Inc.,4-Sell,87.58,D,A,F,B,50.0
ACGL,Arch Capital Group Ltd.,4-Sell,62.76,B,C,B,B,50.0
ACI,Albertsons Companies Inc.,3-Hold,20.78,A,A,A,A,75.0
ACIW,ACI Worldwide Inc.,4-Sell,26.49,B,F,F,D,25.0
ACLX,Arcellx Inc.,3-Hold,32.73,C,B,B,B,62.5
ACLS,Axcelis Technologies Inc.,3-Hold,80.78,C,A,B,A,75.0
ACDC,ProFrac Holding Corp.,2-Buy,21.39,A,A,A,A,87.5
ACM,AECOM,3-Hold,82.92,C,B,B,B,62.5
ACN,Accenture PLC,3-Hold,262.32,C,B,B,A,75.0
ACRE,Ares Commercial Real Estate Corporation,4-Sell,10.75,C,D,B,C,37.5
ADC,Agree Realty Corporation,3-Hold,69.01,F,B,B,C,50.0
ADI,Analog Devices Inc.,3-Hold,164.6,C,A,D,B,62.5
ACRS,Aclaris Therapeutics Inc.,3-Hold,15.11,F,B,D,D,37.5
ADP,Automatic Data Processing Inc.,3-Hold,233.15,D,C,B,C,50.0
ADNT,Adient,3-Hold,36.97,A,A,C,A,75.0
ADSK,Autodesk Inc.,3-Hold,181.02,D,A,D,B,62.5
ADTN,ADTRAN Holdings Inc.,4-Sell,18.81,C,F,A,C,37.5
AEE,Ameren Corporation,3-Hold,86.44,C,B,B,C,50.0
AEHR,Aehr Test Systems,3-Hold,17.29,F,B,B,C,50.0
AEL,American Equity Investment Life Holding Company,3-Hold,46.22,A,F,D,C,50.0
AES,The AES Corporation,3-Hold,26.11,C,B,D,B,62.5
AEM,Agnico Eagle Mines Limited,1-Strong Buy,54.18,F,C,D,D,62.5
AAPL,Apple Inc.,3-Hold,126.44,C,C,D,D,37.5
AB,AllianceBernstein Holding L.P.,3-Hold,35.45,B,B,F,B,62.5
AAP,Advance Auto Parts Inc.,3-Hold,153.07,A,D,C,C,50.0
ABBV,AbbVie Inc.,3-Hold,164.06,B,A,B,A,75.0
AAN,The Aaron's Company Inc.,4-Sell,12.5,A,B,D,A,62.5
AAT,American Assets Trust Inc.,3-Hold,26.44,C,B,C,B,62.5
ABCB,Ameris Bancorp,3-Hold,46.02,B,D,C,C,50.0
ABCM,Abcam PLC Sponsored ADR,3-Hold,17.03,D,C,C,D,37.5
ABC,AmerisourceBergen Corporation,3-Hold,162.78,A,B,A,A,75.0
ABNB,Airbnb Inc.,4-Sell,87.48,D,A,F,B,50.0
ABM,ABM Industries Incorporated,4-Sell,45.01,A,B,C,A,62.5
ABR,Arbor Realty Trust,3-Hold,13.71,C,F,F,F,25.0
ABT,Abbott Laboratories,3-Hold,110.55,C,B,B,B,62.5
ABB,ABB Ltd,4-Sell,31.76,C,C,D,D,25.0
ACI,Albertsons Companies Inc.,3-Hold,20.78,A,A,A,A,75.0
ACIW,ACI Worldwide Inc.,4-Sell,26.48,B,F,F,D,25.0
ACLS,Axcelis Technologies Inc.,3-Hold,80.78,C,A,B,A,75.0
ACGL,Arch Capital Group Ltd.,4-Sell,62.76,B,C,B,B,50.0
ACDC,ProFrac Holding Corp.,2-Buy,21.39,A,A,A,A,87.5
ACAD,ACADIA Pharmaceuticals Inc.,4-Sell,16.98,D,A,C,C,37.5
ACM,AECOM,3-Hold,82.92,C,B,B,B,62.5
ACN,Accenture PLC,3-Hold,262.15,C,B,B,A,75.0
ACLX,Arcellx Inc.,3-Hold,32.72,C,B,B,B,62.5
ACRE,Ares Commercial Real Estate Corporation,4-Sell,10.75,C,D,B,C,37.5
ACRS,Aclaris Therapeutics Inc.,3-Hold,15.11,F,B,D,D,37.5
ADC,Agree Realty Corporation,3-Hold,68.99,F,B,B,C,50.0
ADI,Analog Devices Inc.,3-Hold,164.4,C,A,D,B,62.5
ADBE,Adobe Inc.,3-Hold,330.15,C,B,C,B,62.5
ADEA,Adeia Inc.,5-Strong Sell,10.37,B,B,B,B,37.5
ADNT,Adient,3-Hold,36.98,A,A,C,A,75.0
ADP,Automatic Data Processing Inc.,3-Hold,233.03,D,C,B,C,50.0
ADSK,Autodesk Inc.,3-Hold,180.91,D,A,D,B,62.5
AEE,Ameren Corporation,3-Hold,86.43,C,B,B,C,50.0
AES,The AES Corporation,3-Hold,26.08,C,B,D,B,62.5
ADTN,ADTRAN Holdings Inc.,4-Sell,18.81,C,F,A,C,37.5
AER,Aercap Holdings N.V.,3-Hold,59.57,B,D,C,C,50.0
AEHR,Aehr Test Systems,3-Hold,17.27,F,B,B,C,50.0
AEO,American Eagle Outfitters Inc.,2-Buy,14.82,A,F,C,C,62.5
AEM,Agnico Eagle Mines Limited,1-Strong Buy,54.2,F,C,D,D,62.5
AEL,American Equity Investment Life Holding Company,3-Hold,46.22,A,F,D,C,50.0
AFYA,Afya Limited,2-Buy,13.95,A,A,A,A,87.5
AFL,Aflac Incorporated,3-Hold,71.59,B,F,A,C,50.0
AFG,American Financial Group Inc.,3-Hold,138.06,B,D,B,B,62.5
AGI,Alamos Gold Inc.,3-Hold,10.55,D,F,F,F,25.0
AGL,Agilon Health Inc.,4-Sell,15.72,D,A,C,B,50.0
AEP,American Electric Power Company Inc.,3-Hold,94.11,C,B,D,B,62.5
AGTI,Agiliti Inc.,3-Hold,16.69,B,C,D,C,50.0
AGR,Avangrid Inc.,4-Sell,43.03,D,F,A,D,25.0
AGNC,AGNC Investment Corp.,3-Hold,10.67,B,D,C,C,50.0
AHCO,AdaptHealth Corp.,3-Hold,19.68,A,D,D,B,62.5
AIG,American International Group Inc.,3-Hold,63.26,A,C,D,B,62.5
AIRC,Apartment Income REIT Corp.,3-Hold,33.76,D,C,B,C,50.0
AHH,Armada Hoffler Properties Inc.,3-Hold,11.46,D,C,D,D,37.5
AI,C3.ai Inc.,4-Sell,10.9,F,F,F,F,12.5
AGIO,Agios Pharmaceuticals Inc.,3-Hold,28.84,F,C,D,F,25.0
AIZ,Assurant Inc.,5-Strong Sell,126.82,B,F,D,D,12.5
AJG,Arthur J. Gallagher & Co.,3-Hold,186.99,D,B,C,C,50.0
AKAM,Akamai Technologies Inc.,3-Hold,84.42,B,C,B,B,62.5
AKR,Acadia Realty Trust,3-Hold,14.39,C,D,F,D,37.5
ALB,Albemarle Corporation,3-Hold,220.65,C,A,D,B,62.5
AGCO,AGCO Corporation,3-Hold,134.81,B,F,B,C,50.0
AKRO,Akero Therapeutics Inc.,3-Hold,43.38,C,C,A,B,62.5
ALE,Allete Inc.,2-Buy,64,C,D,D,C,62.5
ALC,Alcon,3-Hold,70.3,C,C,A,B,62.5
ALGM,Allegro MicroSystems Inc.,3-Hold,29.27,D,A,C,B,62.5
ALGN,Align Technology Inc.,5-Strong Sell,220.88,D,B,C,C,25.0
ALHC,Alignment Healthcare Inc.,4-Sell,11.5,D,A,A,A,62.5
ALK,Alaska Air Group Inc.,3-Hold,44.08,A,A,F,A,75.0
ALL,The Allstate Corporation,3-Hold,137.67,A,C,D,B,62.5
ALKS,Alkermes plc,4-Sell,25.04,D,B,B,B,50.0
ALLY,Ally Financial Inc.,5-Strong Sell,24.84,A,C,F,C,25.0
ALLE,Allegion PLC,2-Buy,107.56,C,D,F,D,50.0
ALNY,Alnylam Pharmaceuticals Inc.,4-Sell,226.14,F,C,B,D,25.0
ALRM,Alarm.com Holdings Inc.,3-Hold,48.2,D,C,F,F,25.0
ALT,Altimmune Inc.,3-Hold,14.07,F,C,B,D,37.5
ALTR,Altair Engineering Inc.,1-Strong Buy,46.25,F,D,D,F,50.0
AM,Antero Midstream Corporation,4-Sell,10.82,D,C,C,D,25.0
ALV,Autoliv Inc.,3-Hold,77.9,A,B,C,A,75.0
AMAT,Applied Materials Inc.,3-Hold,98.54,C,D,D,D,37.5
AMBA,Ambarella Inc.,3-Hold,79.71,F,D,F,F,25.0
AMCR,Amcor PLC,4-Sell,11.93,C,C,B,B,50.0
AMCX,AMC Networks Inc.,4-Sell,16.9,A,F,C,D,25.0
AMD,Advanced Micro Devices Inc.,3-Hold,63.39,C,C,D,C,50.0
AME,AMETEK Inc.,3-Hold,138.54,D,C,F,D,37.5
AMED,Amedisys Inc.,4-Sell,82.16,B,D,D,C,37.5
AMEH,Apollo Medical Holdings Inc.,3-Hold,27.83,B,D,A,B,62.5
AMG,Affiliated Managers Group Inc.,3-Hold,160.96,A,C,F,B,62.5
AMGN,Amgen Inc.,3-Hold,265.24,B,C,C,B,62.5
AMH,American Homes 4 Rent,3-Hold,29.45,D,B,F,D,37.5
AMKR,Amkor Technology Inc.,3-Hold,25.97,A,C,C,A,75.0
AMN,AMN Healthcare Services Inc,2-Buy,107.11,A,A,B,A,87.5
AMLX,Amylyx Pharmaceuticals Inc.,2-Buy,35.36,D,D,B,D,50.0
AMPL,Amplitude Inc.,2-Buy,11.95,F,B,F,D,50.0
AMP,Ameriprise Financial Inc.,3-Hold,309.96,B,F,A,C,50.0
AMR,Alpha Metallurgical Resources Inc.,3-Hold,140.74,A,A,B,A,75.0
AMRC,Ameresco Inc.,4-Sell,55.11,D,C,D,D,25.0
AMX,America Movil S.A.B. de C.V.,2-Buy,18.8,A,C,F,B,75.0
AMT,American Tower Corporation,4-Sell,212.03,F,C,D,D,25.0
AMZN,Amazon.com Inc.,5-Strong Sell,83.89,D,D,B,D,12.5
AN,AutoNation Inc.,3-Hold,108.62,A,A,D,A,75.0
ANET,Arista Networks Inc.,1-Strong Buy,110.36,D,D,B,D,62.5
ANF,Abercrombie & Fitch Company,3-Hold,24.01,B,F,B,D,37.5
ANGO,AngioDynamics Inc.,3-Hold,15.31,C,C,D,C,50.0
ANSS,ANSYS Inc.,3-Hold,233.36,D,B,D,D,37.5
AON,Aon plc,4-Sell,300.09,D,F,A,D,25.0
AOS,A. O. Smith Corporation,2-Buy,59.55,B,D,F,D,50.0
APAM,Artisan Partners Asset Management Inc.,4-Sell,31.37,B,A,C,A,62.5
APA,APA Corporation,3-Hold,41.76,A,A,D,A,75.0
APG,APi Group Corporation,4-Sell,18.53,B,B,A,A,62.5
APD,Air Products and Chemicals Inc.,3-Hold,302.42,D,C,C,D,37.5
APH,Amphenol Corporation,3-Hold,76.94,D,B,C,C,50.0
AA,Alcoa,3-Hold,45.06,A,B,F,A,75.0
APLS,Apellis Pharmaceuticals Inc.,3-Hold,46.66,F,C,A,D,37.5
APO,Apollo Global Management Inc.,3-Hold,63.64,C,B,F,C,50.0
APP,AppLovin Corporation,3-Hold,9.81,B,A,F,B,62.5
APPN,Appian Corporation,4-Sell,31.37,F,F,A,F,12.5
APTV,Aptiv PLC,3-Hold,96.01,B,D,D,C,50.0
APPS,Digital Turbine Inc.,3-Hold,15.03,B,A,F,A,75.0
AR,Antero Resources Corporation,3-Hold,27.75,A,A,C,A,75.0
AQUA,Evoqua Water Technologies,3-Hold,38.93,C,A,A,A,75.0
ARCH,Arch Resources Inc.,5-Strong Sell,134.21,A,A,B,A,50.0
ARCE,Arco Platform Limited,5-Strong Sell,12.64,C,B,F,B,37.5
ARCT,Arcturus Therapeutics Holdings Inc.,3-Hold,16.77,D,D,A,D,37.5
ARE,Alexandria Real Estate Equities Inc.,4-Sell,142.95,D,C,B,D,25.0
ARHS,Arhaus Inc.,3-Hold,10.25,B,A,D,A,75.0
ARES,Ares Management Corporation,4-Sell,68.11,D,F,F,F,12.5
ARIS,Aris Water Solutions Inc.,3-Hold,14.19,B,A,B,A,75.0
ARI,Apollo Commercial Real Estate Finance,3-Hold,11.04,C,D,B,C,50.0
ARMK,Aramark,3-Hold,42.3,A,A,F,A,75.0
ARLP,Alliance Resource Partners L.P.,2-Buy,19.45,B,A,D,A,87.5
ARQT,Arcutis Biotherapeutics Inc.,3-Hold,14.96,F,D,C,F,25.0
ARNC,Arconic Corporation,3-Hold,21.47,B,B,D,B,62.5
ARRY,Array Technologies Inc.,2-Buy,18.19,B,A,F,A,87.5
ARVN,Arvinas Inc.,3-Hold,34.77,D,A,C,B,62.5
ARW,Arrow Electronics Inc.,3-Hold,106.12,A,D,F,D,37.5
ASND,Ascendis Pharma AS,4-Sell,121.31,F,F,C,F,12.5
ASML,ASML Holding N.V.,2-Buy,569.05,D,D,D,D,50.0
ASAN,Asana Inc.,3-Hold,12.03,F,D,D,F,25.0
ASAI,Sendas Distribuidora S.A. Sponsored ADR,3-Hold,17.81,A,A,B,A,75.0
ASO,Academy Sports and Outdoors Inc.,3-Hold,51.77,A,C,B,A,75.0
ASPN,Aspen Aerogels Inc.,3-Hold,10.52,F,F,D,F,25.0
ATHM,Autohome Inc.,2-Buy,34.87,B,F,F,F,37.5
ATGE,Adtalem Global Education Inc.,3-Hold,36.27,A,B,B,A,75.0
ATEC,Alphatec Holdings Inc.,4-Sell,12.15,D,B,B,C,37.5
ATKR,Atkore Inc.,3-Hold,114.92,A,A,D,A,75.0
ATEN,A10 Networks Inc.,3-Hold,15.94,C,A,C,B,62.5
ATRC,AtriCure Inc.,4-Sell,44.54,D,B,B,C,37.5
ATSG,Air Transport Services Group Inc,3-Hold,25.92,A,C,A,A,75.0
ATNM,Actinium Pharmaceuticals Inc.,3-Hold,10.13,D,B,D,D,37.5
ASC,Ardmore Shipping Corporation,2-Buy,13.14,B,A,D,B,75.0
AVB,AvalonBay Communities Inc.,3-Hold,158.27,D,C,F,D,37.5
AU,AngloGold Ashanti Limited,1-Strong Buy,20.74,D,B,F,C,75.0
ATO,Atmos Energy Corporation,2-Buy,109.27,C,D,A,D,50.0
AVGO,Broadcom Inc.,3-Hold,555.26,C,A,C,B,62.5
AVID,Avid Technology Inc.,3-Hold,25.97,C,A,D,B,62.5
ASLE,AerSale Corporation,2-Buy,16.31,B,D,B,C,62.5
AVNT,Avient Corporation,4-Sell,35.61,B,C,D,B,50.0
AVT,Avnet Inc.,4-Sell,41.58,A,D,C,C,37.5
AVTR,Avantor Inc.,4-Sell,20.73,B,C,C,B,50.0
ATAT,Atour Lifestyle Holdings Limited Sponsored ADR,3-Hold,19.55,D,B,F,D,37.5
AVY,Avery Dennison Corporation,3-Hold,182.94,B,B,D,B,62.5
AWI,Armstrong World Industries Inc.,4-Sell,68.98,C,C,D,C,37.5
AWK,American Water Works Company Inc.,3-Hold,155.02,D,D,C,D,37.5
AX,AXOS FINANCIAL INC,2-Buy,37.31,B,D,C,C,62.5
AXON,Axon Enterprise Inc,1-Strong Buy,168.66,F,C,B,F,50.0
AXNX,Axonics Inc.,3-Hold,60.51,D,A,A,B,62.5
AXP,American Express Company,3-Hold,146.72,B,B,D,B,62.5
AXS,Axis Capital Holdings Limited,3-Hold,54.53,A,B,B,A,75.0
AXSM,Axsome Therapeutics Inc.,3-Hold,69.76,F,C,D,D,37.5
AXTA,Axalta Coating Systems Ltd.,3-Hold,25.5,B,F,C,D,37.5
AYX,Alteryx Inc.,3-Hold,49,D,F,F,F,25.0
AY,Atlantica Sustainable Infrastructure PLC,3-Hold,25.79,B,B,A,A,75.0
AZEK,The AZEK Company Inc.,3-Hold,21.57,D,C,D,D,37.5
AZN,AstraZeneca PLC,3-Hold,69.67,B,A,B,A,75.0
AZTA,Azenta Inc.,3-Hold,60.57,D,F,D,F,25.0
BA,The Boeing Company,3-Hold,202.29,D,B,F,C,50.0
BAC,Bank of America Corporation,3-Hold,33.97,F,F,F,F,25.0
BABA,Alibaba Group Holding Limited,3-Hold,104.76,B,C,F,C,50.0
ASH,Ashland Inc.,3-Hold,104,C,F,A,D,37.5
BAH,Booz Allen Hamilton Holding Corporation,2-Buy,102.45,B,A,F,A,87.5
BALL,Ball Corporation,4-Sell,52.42,C,F,B,D,25.0
BALY,Bally's Corporation,5-Strong Sell,19.26,B,B,C,B,37.5
BANC,Banc of California Inc.,4-Sell,16.19,C,D,D,D,25.0
BAND,Bandwidth Inc.,1-Strong Buy,22.53,C,A,A,A,100.0
BAP,Credicorp Ltd.,3-Hold,141.31,A,A,D,A,75.0
BAX,Baxter International Inc.,3-Hold,52.74,B,C,F,C,50.0
BBW,BuildABear Workshop Inc.,1-Strong Buy,24.48,B,C,F,C,75.0
BBWI,Bath & Body Works Inc.,2-Buy,47.34,B,F,C,D,50.0
BBY,Best Buy Co. Inc.,3-Hold,80.21,A,F,B,C,50.0
BC,Brunswick Corporation,4-Sell,75.14,A,D,B,B,50.0
BCE,BCE Inc.,3-Hold,44.79,C,C,D,C,50.0
BCC,Boise Cascade L.L.C.,1-Strong Buy,67.15,A,A,D,A,100.0
BCOR,Blucora Inc.,3-Hold,25.67,B,C,A,B,62.5
BCRX,BioCryst Pharmaceuticals Inc.,2-Buy,11.58,D,B,C,C,62.5
BEPC,Brookfield Renewable Corporation,4-Sell,27.96,A,D,B,B,50.0
BDX,Becton Dickinson and Company,3-Hold,256.83,C,C,C,C,50.0
BEKE,KE Holdings Inc. Sponsored ADR,3-Hold,17.91,D,B,F,D,37.5
BE,Bloom Energy Corporation,4-Sell,19.14,F,F,F,F,12.5
BF.B,BrownForman Corporation,4-Sell,63.78,F,D,F,F,12.5
BERY,Berry Global Group Inc.,3-Hold,60.47,A,A,B,A,75.0
BDC,Belden Inc,2-Buy,73.34,A,B,D,B,75.0
BFAM,Bright Horizons Family Solutions Inc.,3-Hold,67.51,C,D,F,F,25.0
BEN,Franklin Resources Inc.,4-Sell,27.33,B,B,D,B,50.0
BG,Bunge Limited,3-Hold,92.66,B,D,B,B,62.5
BHF,Brighthouse Financial Inc.,2-Buy,51.93,B,F,D,F,37.5
BGS,B&G Foods Inc.,5-Strong Sell,11.93,B,F,D,D,12.5
BGNE,BeiGene Ltd.,3-Hold,243.75,F,D,A,D,37.5
BIG,Big Lots Inc.,3-Hold,15.48,D,F,F,F,25.0
BIDU,Baidu Inc.,1-Strong Buy,131.59,B,D,F,F,50.0
BFH,Bread Financial Holdings Inc.,3-Hold,40.59,A,C,A,A,75.0
BECN,Beacon Roofing Supply Inc.,3-Hold,52.48,A,B,D,A,75.0
BHP,BHP Group Limited Sponsored ADR,1-Strong Buy,63.23,B,C,B,B,87.5
BILI,Bilibili Inc. Sponsored ADR,2-Buy,29.03,D,B,F,C,62.5
BHLB,Berkshire Hills Bancorp Inc.,3-Hold,29.92,C,D,C,D,37.5
BK,The Bank of New York Mellon Corporation,3-Hold,47.14,C,D,D,D,37.5
